Model Name,Developer,Total Parameters,Active Parameters (MoE),Model Type,Size Band
DeepSeek Chat V3,DeepSeek,Undisclosed,N/A,LLM (Chat),Undisclosed
DeepSeek R1 Zero,DeepSeek,Undisclosed,N/A,LLM (Reasoning),Undisclosed
Qwen2.5-Max,Alibaba Cloud,Undisclosed,N/A,LLM,Undisclosed
Yi-1.5,01.AI,Undisclosed,N/A,LLM,Undisclosed
Qwen1.5-4B,Alibaba Cloud,4B,Dense - 4B,LLM,Small (1B-5B)
Qwen1.5-7B,Alibaba Cloud,7B,Dense - 7B,LLM,Small (5B-10B)
GLM-4-9B,Zhipu AI (Z.AI),9B,Dense - 9B,Multimodal,Small (5B-10B)
Qwen3-32B,Alibaba Cloud,32B,Dense - 32B,LLM,Medium (10B-50B)
Qwen1.5-14B,Alibaba Cloud,14B,Dense - 14B,LLM,Medium (10B-50B)
Qwen1.5-32B,Alibaba Cloud,32B,Dense - 32B,LLM,Medium (10B-50B)
InternVL3-14B,Shanghai AI Lab / SenseTime,14B,Dense - 14B,Multimodal (Vision-Language),Medium (10B-50B)
Seed-OSS-36B-Instruct,ByteDance,36B,Dense - 36B,LLM (Reasoning),Medium (10B-50B)
Qwen3-Omni-30B-A3B,Alibaba Cloud,30B,MoE - 3B active,Multimodal (Text/Image/Audio/Video),Medium (10B-50B)
Qwen3-VL-30B-A3B,Alibaba Cloud,30B,MoE - 3B active,Multimodal (Vision),Medium (10B-50B)
Qwen3-30B-A3B,Alibaba Cloud,30B,MoE - 3B active,LLM,Medium (10B-50B)
Qwen1.5-72B,Alibaba Cloud,72B,Dense - 72B,LLM,Large (50B-100B)
Hunyuan A13B Instruct,Tencent,80B,MoE - 13B active,LLM (MoE),Large (50B-100B)
Qwen3-235B-A22B,Alibaba Cloud,235B,MoE - 22B active,LLM (Reasoning),Extra Large (100B-500B)
GLM-4.6,Zhipu AI (Z.AI),355B,MoE - 32B active,LLM (Agentic/Coding),Extra Large (100B-500B)
GLM-4.5-Air,Zhipu AI (Z.AI),106B,MoE - 12B active,LLM (Agentic/Coding),Extra Large (100B-500B)
MiniMax M1,MiniMax,456B,MoE - 45.9B active,LLM (Reasoning),Extra Large (100B-500B)
Qwen1.5-110B,Alibaba Cloud,110B,Dense - 110B,LLM,Extra Large (100B-500B)
Qwen3-Coder-480B-A35B,Alibaba Cloud,480B,MoE - 35B active,LLM (Code),Extra Large (100B-500B)
GLM-4.5,Zhipu AI (Z.AI),355B,MoE - 32B active,LLM (Agentic/Coding),Extra Large (100B-500B)
MiniMax M2,MiniMax,230B,MoE - 10B active,LLM (Coding/Agentic),Extra Large (100B-500B)
Qwen3-VL-235B-A22B,Alibaba Cloud,235B,MoE - 22B active,Multimodal (Vision),Extra Large (100B-500B)
DeepSeek V3.2 Special,DeepSeek,685B,MoE - 37B active,LLM (Reasoning),Ultra Large (500B+)
DeepSeek V3 Base,DeepSeek,685B,MoE - 37B active,LLM (Base),Ultra Large (500B+)
DeepSeek R1,DeepSeek,671B,MoE - 37B active,LLM (Reasoning),Ultra Large (500B+)
DeepSeek V3,DeepSeek,685B,MoE - 37B active,LLM,Ultra Large (500B+)
Kimi K2,Moonshot AI,1T+ (Trillion),MoE - 32B active,LLM (Multimodal),Ultra Large (500B+)
DeepSeek V3.2,DeepSeek,685B,MoE - 37B active,LLM,Ultra Large (500B+)
Kimi K2 Thinking,Moonshot AI,1T+ (Trillion),MoE - 32B active,LLM (Reasoning/Agentic),Ultra Large (500B+)
