Model Name,Developer,Total Parameters,Active Parameters (MoE),Size Band
Qwen2.5-0.5B,Alibaba Cloud,0.5B,Dense - 0.5B,Tiny (<1B)
Qwen3-0.6B,Alibaba Cloud,0.6B,Dense - 0.6B,Tiny (<1B)
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,1.5B,Dense - 1.5B,Small (1B-5B)
Qwen3-4B,Alibaba Cloud,4B,Dense - 4B,Small (1B-5B)
Qwen3-1.7B,Alibaba Cloud,1.7B,Dense - 1.7B,Small (1B-5B)
Qwen1.5-4B,Alibaba Cloud,4B,Dense - 4B,Small (1B-5B)
Qwen2.5-3B,Alibaba Cloud,3B,Dense - 3B,Small (1B-5B)
Qwen2.5-1.5B,Alibaba Cloud,1.5B,Dense - 1.5B,Small (1B-5B)
Qwen2.5-7B,Alibaba Cloud,7B,Dense - 7B,Small (5B-10B)
GLM-4-9B,Zhipu AI (Z.AI),9B,Dense - 9B,Small (5B-10B)
Qwen2.5-VL-7B,Alibaba Cloud,7B,Dense - 7B,Small (5B-10B)
Qwen1.5-7B,Alibaba Cloud,7B,Dense - 7B,Small (5B-10B)
DeepSeek R1 Distill Qwen 7B,DeepSeek,7B,Dense - 7B,Small (5B-10B)
DeepSeek R1 0528 Qwen3 8B (Distilled),DeepSeek,8.2B (Distilled from R1),Dense - 8.2B,Small (5B-10B)
Qwen3-8B,Alibaba Cloud,8.2B,Dense - 8.2B,Small (5B-10B)
Qwen3-14B,Alibaba Cloud,14B,Dense - 14B,Medium (10B-50B)
Qwen2.5-32B,Alibaba Cloud,32B,Dense - 32B,Medium (10B-50B)
GLM-4-32B,Zhipu AI (Z.AI),32B,Dense - 32B,Medium (10B-50B)
InternVL3-14B,Shanghai AI Lab / SenseTime,14B,Dense - 14B,Medium (10B-50B)
Seed-OSS-36B-Instruct,ByteDance,36B,Dense - 36B,Medium (10B-50B)
Qwen1.5-32B,Alibaba Cloud,32B,Dense - 32B,Medium (10B-50B)
Qwen1.5-14B,Alibaba Cloud,14B,Dense - 14B,Medium (10B-50B)
Qwen2.5-Coder-32B,Alibaba Cloud,32B,Dense - 32B,Medium (10B-50B)
QwQ-32B,Alibaba Cloud,32B,Dense - 32B,Medium (10B-50B)
Qwen2.5-14B,Alibaba Cloud,14B,Dense - 14B,Medium (10B-50B)
Qwen3-32B,Alibaba Cloud,32B,Dense - 32B,Medium (10B-50B)
DeepSeek R1 Distill Qwen 32B,DeepSeek,32B,Dense - 32B,Medium (10B-50B)
DeepSeek R1 Distill Qwen 14B,DeepSeek,14B,Dense - 14B,Medium (10B-50B)
Qwen3-Coder-30B-A3B,Alibaba Cloud,30B,MoE - 3B active,Medium (10B-50B)
Qwen3-Omni-30B-A3B,Alibaba Cloud,30B,MoE - 3B active,Medium (10B-50B)
Qwen3-VL-30B-A3B,Alibaba Cloud,30B,MoE - 3B active,Medium (10B-50B)
Qwen3-30B-A3B,Alibaba Cloud,30B,MoE - 3B active,Medium (10B-50B)
Hunyuan A13B Instruct,Tencent,80B,MoE - 13B active,Large (50B-100B)
Qwen1.5-72B,Alibaba Cloud,72B,Dense - 72B,Large (50B-100B)
Qwen2.5-VL-72B,Alibaba Cloud,72B,Dense - 72B,Large (50B-100B)
Qwen2.5-72B,Alibaba Cloud,72B,Dense - 72B,Large (50B-100B)
Qwen3-Next-80B-A3B,Alibaba Cloud,80B,MoE - 3B active,Large (50B-100B)
Qwen1.5-110B,Alibaba Cloud,110B,Dense - 110B,Extra Large (100B-500B)
GLM-4.5-Air,Zhipu AI (Z.AI),106B,MoE - 12B active,Extra Large (100B-500B)
GLM-4.5V,Zhipu AI (Z.AI),106B,MoE - 12B active,Extra Large (100B-500B)
MiniMax M1,MiniMax,456B,MoE - 45.9B active,Extra Large (100B-500B)
MiniMax M2,MiniMax,230B,MoE - 10B active,Extra Large (100B-500B)
GLM-4.6,Zhipu AI (Z.AI),355B,MoE - 32B active,Extra Large (100B-500B)
Qwen3-Coder-480B-A35B,Alibaba Cloud,480B,MoE - 35B active,Extra Large (100B-500B)
DeepSeek V2.5,DeepSeek,236B,MoE - 21B active,Extra Large (100B-500B)
Qwen3-VL-235B-A22B,Alibaba Cloud,235B,MoE - 22B active,Extra Large (100B-500B)
Qwen3-235B-A22B,Alibaba Cloud,235B,MoE - 22B active,Extra Large (100B-500B)
GLM-4.5,Zhipu AI (Z.AI),355B,MoE - 32B active,Extra Large (100B-500B)
DeepSeek V3,DeepSeek,685B,MoE - 37B active,Ultra Large (500B+)
DeepSeek V3.1 Base,DeepSeek,671B,MoE - 37B active,Ultra Large (500B+)
DeepSeek V3.2 Special,DeepSeek,685B,MoE - 37B active,Ultra Large (500B+)
DeepSeek V3.2,DeepSeek,685B,MoE - 37B active,Ultra Large (500B+)
DeepSeek V3.1 Terminus,DeepSeek,671B,MoE - 37B active,Ultra Large (500B+)
DeepSeek R1 0528,DeepSeek,671B,MoE - 37B active,Ultra Large (500B+)
DeepSeek V3.1,DeepSeek,671B,MoE - 37B active,Ultra Large (500B+)
DeepSeek V3 Base,DeepSeek,685B,MoE - 37B active,Ultra Large (500B+)
Kimi K2,Moonshot AI,1T+ (Trillion),MoE - 32B active,Ultra Large (500B+)
Kimi K2 Thinking,Moonshot AI,1T+ (Trillion),MoE - 32B active,Ultra Large (500B+)
DeepSeek R1,DeepSeek,671B,MoE - 37B active,Ultra Large (500B+)
DeepSeek Chat V3,DeepSeek,Undisclosed,N/A,Undisclosed
DeepSeek R1 Zero,DeepSeek,Undisclosed,N/A,Undisclosed
Qwen2.5-Max,Alibaba Cloud,Undisclosed,N/A,Undisclosed
Qwen-Plus,Alibaba Cloud,Undisclosed,N/A,Undisclosed
Yi-1.5,01.AI,Undisclosed,N/A,Undisclosed
